"stratum","zoekzone","polygon_id","volgorde_zoekzone","volgorde_element","selectelement","geom"
"klein","Z0082","ANTHGS0029","22","4","false","[object Object]"
"klein","Z0082","ANTHGS0006","22","5","false","[object Object]"
"klein","Z0080","ANTHGS0157","25","2","false","[object Object]"
"klein","Z0084","LIMGNK0182","26","2","false","[object Object]"
"klein","Z0084","LIMGNK0384","26","3","false","[object Object]"
"klein","Z0087","LIMZNH0447","27","3","false","[object Object]"
"klein","Z0087","LIMZNH0366","27","4","false","[object Object]"
"klein","Z0087","LIMZNH0315","27","5","false","[object Object]"
"klein","Z0087","LIMZNH0318","27","6","false","[object Object]"
"klein","Z0087","LIMZNH0333","27","7","false","[object Object]"
"klein","Z0128","ANTBCT0126","28","3","false","[object Object]"
"klein","Z0128","ANTBCT0035","28","4","false","[object Object]"
"klein","Z0128","ANTBCT0063","28","5","false","[object Object]"
"klein","Z0113","LIMDST0215","31","2","false","[object Object]"
"klein","Z0113","LIMDST0118","31","3","false","[object Object]"
"groot","Z0004","LIMHAS0742","34","4","false","[object Object]"
"groot","Z0004","LIMHAS0181","34","5","false","[object Object]"
"groot","Z0004","LIMHAS0125","34","6","false","[object Object]"
"groot","Z0004","LIMHAS0751","34","7","false","[object Object]"
"groot","Z0004","LIMHAS0231","34","8","false","[object Object]"
"groot","Z0004","LIMHAS0254","34","9","false","[object Object]"
"groot","Z0004","LIMHAS0092","34","10","false","[object Object]"
"klein","Z0112","LIMOPG0020","37","2","false","[object Object]"
"klein","Z0117","ANTTUR0359","38","2","false","[object Object]"
"klein","Z0148","ANTBCT0447","40","3","false","[object Object]"
"klein","Z0148","ANTBCT0289","40","4","false","[object Object]"
"klein","Z0148","ANTBCT0200","40","5","false","[object Object]"
"klein","Z0148","ANTBCT0322","40","6","false","[object Object]"
"klein","Z0148","ANTBCT0458","40","7","false","[object Object]"
"klein","Z0098","ANTMRK0011","41","2","false","[object Object]"
"klein","Z0077","ANTBAA0015","42","2","false","[object Object]"
"klein","Z0068","ANTMRK0254","44","2","false","[object Object]"
"klein","Z0068","ANTTUR0305","44","3","false","[object Object]"
"klein","Z0160","ANTBCT0520","47","2","false","[object Object]"
"klein","Z0160","ANTBCT0464","47","3","false","[object Object]"
"klein","Z0141","ANTKAL0288","48","2","false","[object Object]"
"klein","Z0161","ANTWUU0190","49","2","false","[object Object]"
"klein","Z0127","LIMOPG0085","50","3","false","[object Object]"
"klein","Z0127","LIMMSK0375","50","4","false","[object Object]"
"klein","Z0127","LIMOPG0067","50","5","false","[object Object]"
"klein","Z0127","LIMOPG0072","50","6","false","[object Object]"
"klein","Z0127","LIMOPG0096","50","7","false","[object Object]"
"klein","Z0101","ANTOTH0094","52","2","false","[object Object]"
"klein","Z0016","LIMOPG0016","53","3","false","[object Object]"
"klein","Z0016","LIMMGR0010","53","4","false","[object Object]"
"klein","Z0145","ANTKAL0366","54","2","false","[object Object]"
"klein","Z0145","ANTKAL0381","54","3","false","[object Object]"
"klein","Z0083","ANTHGS0196","55","2","false","[object Object]"
"groot","Z0030","LIMMSK0151","59","4","false","[object Object]"
"groot","Z0030","LIMMSK0143","59","5","false","[object Object]"
"groot","Z0030","LIMKIN0192","59","6","false","[object Object]"
"groot","Z0030","LIMMSK0239","59","7","false","[object Object]"
"groot","Z0030","LIMMSK0427","59","8","false","[object Object]"
"groot","Z0030","LIMMSK0241","59","9","false","[object Object]"
"groot","Z0030","LIMMSK0177","59","10","false","[object Object]"
"groot","Z0030","LIMMSK0356","59","11","false","[object Object]"
"groot","Z0030","LIMMSK0163","59","12","false","[object Object]"
"groot","Z0030","LIMMSK0164","59","13","false","[object Object]"
"groot","Z0030","LIMMSK0204","59","14","false","[object Object]"
"groot","Z0030","LIMMSK0146","59","15","false","[object Object]"
"klein","Z0094","LIMNEE0027","61","3","false","[object Object]"
"klein","Z0094","LIMNEE0064","61","4","false","[object Object]"
"klein","Z0015","LIMHHE0110","63","2","false","[object Object]"
"klein","Z0046","LIMLOM0237","65","2","false","[object Object]"
"klein","Z0046","LIMNEE0147","65","3","false","[object Object]"
"klein","Z0029","WVLBRN0240","66","3","false","[object Object]"
"klein","Z0029","WVLBRN0422","66","4","false","[object Object]"
"klein","Z0029","WVLOSK0273","66","5","false","[object Object]"
"klein","Z0029","WVLBRN0241","66","6","false","[object Object]"
"klein","Z0065","ANTARE0326","68","2","false","[object Object]"
"klein","Z0065","ANTOTH0259","68","3","false","[object Object]"
"klein","Z0132","LIMZNH0516","69","3","false","[object Object]"
"klein","Z0132","LIMZNH0252","69","4","false","[object Object]"
"klein","Z0132","LIMZNH0430","69","5","false","[object Object]"
"klein","Z0033","LIMBRE0186","71","2","false","[object Object]"
"klein","Z0133","LIMZNH0507","73","2","false","[object Object]"
"klein","Z0079","ANTRAV0272","75","2","false","[object Object]"
"klein","Z0079","ANTRAV0196","75","3","false","[object Object]"
"klein","Z0118","ANTBCT0765","76","2","false","[object Object]"
"klein","Z0118","ANTBCT0028","76","3","false","[object Object]"
"klein","Z0006","LIMMSM0023","77","2","false","[object Object]"
"klein","Z0115","WVLOSK0085","78","2","false","[object Object]"
"klein","Z0115","WVLOSK0075","78","3","false","[object Object]"
"klein","Z0093","WVLBRN0192","79","3","false","[object Object]"
"klein","Z0093","WVLBRN0413","79","4","false","[object Object]"
"klein","Z0093","WVLBRN0145","79","5","false","[object Object]"
"klein","Z0096","WVLDAM0220","80","2","false","[object Object]"
"klein","Z0092","LIMBRG0254","81","2","false","[object Object]"
"klein","Z0008","LIMMSM0221","82","2","false","[object Object]"
"klein","Z0008","LIMMSM0223","82","3","false","[object Object]"
"klein","Z0060","ANTRIJ0090","83","2","false","[object Object]"
"klein","Z0135","ANTBCT0806","86","3","false","[object Object]"
"klein","Z0135","ANTWUU0141","86","4","false","[object Object]"
"klein","Z0064","ANTWUU0119","88","3","false","[object Object]"
"klein","Z0064","ANTBCT0159","88","4","false","[object Object]"
"klein","Z0026","LIMBRG0199","89","2","false","[object Object]"
"klein","Z0105","ANTKAL0319","92","2","false","[object Object]"
"klein","Z0105","ANTKAL0356","92","3","false","[object Object]"
"klein","Z0014","LIMZNH0060","93","3","false","[object Object]"
"klein","Z0014","LIMZNH0351","93","4","false","[object Object]"
"klein","Z0014","LIMZNH0502","93","5","false","[object Object]"
"groot","Z0002","LIMDPB0239","95","4","false","[object Object]"
"groot","Z0002","LIMDPB0182","95","5","false","[object Object]"
"groot","Z0002","LIMDPB0317","95","6","false","[object Object]"
"groot","Z0002","LIMDPB0124","95","7","false","[object Object]"
"groot","Z0002","LIMDPB0237","95","8","false","[object Object]"
"groot","Z0002","LIMDPB0205","95","9","false","[object Object]"
"groot","Z0002","LIMDPB0078","95","10","false","[object Object]"
"groot","Z0002","LIMDPB0329","95","11","false","[object Object]"
"groot","Z0002","LIMDPB0142","95","12","false","[object Object]"
"groot","Z0002","LIMDPB0238","95","13","false","[object Object]"
"klein","Z0024","ANTHUL0218","96","2","false","[object Object]"
"groot","Z0009","LIMHAS0447","98","4","false","[object Object]"
"groot","Z0009","LIMHAS0531","98","5","false","[object Object]"
"groot","Z0009","LIMHAS0541","98","6","false","[object Object]"
"groot","Z0009","LIMHAS0466","98","7","false","[object Object]"
"groot","Z0009","LIMZNH0149","98","8","false","[object Object]"
"groot","Z0009","LIMHAS0620","98","9","false","[object Object]"
"groot","Z0009","LIMHAS0514","98","10","false","[object Object]"
"groot","Z0009","LIMHAS0849","98","11","false","[object Object]"
"klein","Z0155","ANTBCT0295","101","2","false","[object Object]"
"klein","Z0155","ANTBCT0214","101","3","false","[object Object]"
"klein","Z0070","ANTKAL0140","102","2","false","[object Object]"
"klein","Z0017","WVLDIK0138","103","2","false","[object Object]"
"klein","Z0017","WVLDIK0774","103","3","false","[object Object]"
"klein","Z0048","ANTKAS0264","104","2","false","[object Object]"
"klein","Z0048","ANTKAS0455","104","3","false","[object Object]"
"klein","Z0023","ANTLKD0262","105","2","false","[object Object]"
"klein","Z0140","ANTBCT0706","106","3","false","[object Object]"
"klein","Z0140","ANTBCT0116","106","4","false","[object Object]"
"klein","Z0157","ANTBCT0404","111","2","false","[object Object]"
"klein","Z0156","LIMMGR0250","112","3","false","[object Object]"
"klein","Z0156","LIMMGR0254","112","4","false","[object Object]"
"klein","Z0144","ANTBCT0433","115","3","false","[object Object]"
"klein","Z0144","ANTBCT0242","115","4","false","[object Object]"
"klein","Z0110","LIMZNH0338","116","3","false","[object Object]"
"klein","Z0110","LIMZNH0563","116","4","false","[object Object]"
"klein","Z0047","ANTKAS0474","117","2","false","[object Object]"
"klein","Z0047","ANTKAS0463","117","3","false","[object Object]"
"klein","Z0058","ANTBCT0754","118","2","false","[object Object]"
"klein","Z0154","LIMMGR0244","119","2","false","[object Object]"
"klein","Z0011","LIMGNK0089","121","3","false","[object Object]"
"klein","Z0011","LIMGNK0139","121","4","false","[object Object]"
"klein","Z0059","ANTBSE0011","122","2","false","[object Object]"
"klein","Z0059","ANTBSE0283","122","3","false","[object Object]"
"klein","Z0052","WVLDAM0420","123","2","false","[object Object]"
"klein","Z0052","WVLDAM0196","123","3","false","[object Object]"
"klein","Z0019","LIMDST0105","124","2","false","[object Object]"
"klein","Z0025","LIMMSK0007","125","2","false","[object Object]"
"klein","Z0131","ANTBAA0039","126","3","false","[object Object]"
"klein","Z0131","ANTBAA0043","126","4","false","[object Object]"
"klein","Z0131","ANTBAA0040","126","5","false","[object Object]"
"klein","Z0131","ANTBAA0042","126","6","false","[object Object]"
"klein","Z0013","LIMMSM0189","127","2","false","[object Object]"
"klein","Z0027","LIMBRG0157","128","2","false","[object Object]"
"klein","Z0021","LIMTES0079","130","2","false","[object Object]"
"klein","Z0021","ANTLKD0261","130","3","false","[object Object]"
"klein","Z0124","LIMZNH0174","132","3","false","[object Object]"
"klein","Z0124","LIMZNH0146","132","4","false","[object Object]"
"klein","Z0124","LIMZNH0068","132","5","false","[object Object]"
"klein","Z0054","ANTKAS0514","134","2","false","[object Object]"
"klein","Z0054","ANTKAS0341","134","3","false","[object Object]"
"klein","Z0003","LIMGNK0009","136","3","false","[object Object]"
"klein","Z0003","LIMDPB0135","136","4","false","[object Object]"
"klein","Z0003","LIMDPB0101","136","5","false","[object Object]"
"klein","Z0040","ANTMOL0152","137","2","false","[object Object]"
"klein","Z0032","ANTMOL0606","138","2","false","[object Object]"
"klein","Z0032","ANTGEE0718","138","3","false","[object Object]"
"klein","Z0063","ANTBCT0128","139","3","false","[object Object]"
"klein","Z0063","ANTBCT0017","139","4","false","[object Object]"
"klein","Z0063","ANTWUU0183","139","5","false","[object Object]"
"klein","Z0063","ANTWUU0131","139","6","false","[object Object]"
"klein","Z0151","LIMMGR0243","140","2","false","[object Object]"
"klein","Z0151","LIMMGR0242","140","3","false","[object Object]"
"klein","Z0034","ANTOLE0038","142","2","false","[object Object]"
"klein","Z0072","ANTKAL0004","144","3","false","[object Object]"
"klein","Z0072","ANTKAL0284","144","4","false","[object Object]"
"klein","Z0055","ANTMOL0568","147","2","false","[object Object]"
"klein","Z0130","ANTKAL0277","149","2","false","[object Object]"
"klein","Z0020","wnm_id_174580828","150","2","false","[object Object]"
"klein","Z0020","LIMAS00052","150","3","false","[object Object]"
"klein","Z0108","ANTHGS0590","151","3","false","[object Object]"
"klein","Z0108","ANTHGS0069","151","4","false","[object Object]"
"klein","Z0138","ANTBAA0046","152","3","false","[object Object]"
"klein","Z0138","ANTBAA0045","152","4","false","[object Object]"
"klein","Z0069","ANTTUR0047","156","2","false","[object Object]"
"klein","Z0044","WVLDAM0090","157","2","false","[object Object]"
"klein","Z0044","WVLDAM0075","157","3","false","[object Object]"
"klein","Z0057","LIMHMA0108","158","2","false","[object Object]"
"klein","Z0057","LIMHMA0073","158","3","false","[object Object]"
"klein","Z0146","ANTHGS0606","160","3","false","[object Object]"
"klein","Z0146","ANTHGS0566","160","4","false","[object Object]"
"klein","Z0134","LIMHHE0317","161","2","false","[object Object]"
"klein","Z0134","LIMHHE0315","161","3","false","[object Object]"
